"Country","Year","Total density per 100 000 population: Health posts","Total density per 100 000 population: Health centres","Total density per 100 000 population: District/rural hospitals","Total density per 100 000 population: Provincial hospitals","Total density per 100 000 population: Specialized hospitals","Total density per 100 000 population: Hospitals"
"Papua New Guinea","2013","35.51","9.25","1.22","0.26","0.10","1.57"
"Paraguay","2013","9.66","1.73","2.06","0.12","0.25","2.43"
"Philippines","2013","","","1.48","0.22","0.12","1.81"
"Poland","2013","","","0.18","0.61","0.15","0.94"
"Portugal","2013","3.08","0.18","","","",""
"Republic of Korea","2013","","56.47","2.77","0.56","0.09","3.42"
"Republic of Moldova","2013","29.39","10.09","0.97","0.66","0.49","2.12"
"Romania","2013","0.02","0.06","0.42","0.50","0.75","1.68"
"Saint Kitts and Nevis","2013","0.00","31.37","3.69","3.69","0.00","7.38"
"Saint Lucia","2013","18.65","","","","1.65","1.65"
"Saint Vincent and the Grenadines","2013","35.66","0.91","0.00","0.00","0.00","0.00"
"Samoa","2013","0.00","1.58","3.15","0.53","0.53","4.20"
"San Marino","2013","9.54","0.00","0.00","3.18","0.00","3.18"
"Sao Tome and Principe","2013","14.51","2.07","0.00","","",""
"Saudi Arabia","2013","0.00","0.00","0.21","0.82","0.01","1.04"
"Senegal","2013","6.87","0.54","0.16","","","0.16"
"Serbia","2013","1.66","1.66","0.42","0.43","0.24","1.09"
"Seychelles","2013","20.47","5.39","","","1.08","1.08"
"Sierra Leone","2013","","1.21","","","",""
"Singapore","2013","59.22","","","0.50","","0.50"
"Slovakia","2013","0.29","","0.11","0.48","0.95","1.54"
"Slovenia","2013","4.01","2.75","0.68","0.48","0.10","1.25"
"South Africa","2013","5.88","0.55","0.53","0.12","0.03","0.67"
"Spain","2013","","","1.17","0.30","0.16","1.63"
"Sri Lanka","2013","272.64","","","","","0.10"
"Sudan","2013","10.77","3.68","0.64","0.67","0.03","1.35"
"Suriname","2013","45.25","1.11","0.19","0.00","0.19","0.37"
"Tajikistan","2013","20.72","10.23","3.03","1.61","0.04","4.68"
"Thailand","2013","42.29","","1.10","0.62","0.13","1.84"
"Togo","2013","","10.94","0.51","0.00","0.09","0.60"
"Tonga","2013","14.24","13.29","2.85","0.95","","3.80"
"Trinidad and Tobago","2013","7.83","0.30","","","",""
"Tunisia","2013","18.72","","1.19","0.86","0.27","2.33"
"Turkey","2013","10.03","0.27","","1.23","0.32","1.55"
"Uganda","2013","9.59","3.92","0.36","0.04","0.01","0.40"
"Uruguay","2013","17.61","1.17","","3.52","0.41","3.93"
"Vanuatu","2013","118.69","15.43","1.58","0.40","0.40","2.37"
"Yemen","2013","11.37","4.75","2.06","0.90","0.01","2.97"
"Zambia","2013","1.18","8.33","0.30","0.12","0.03","0.45"
"Zimbabwe","2013","0.00","9.41","0.37","0.08","0.08","0.52"
